Model,Train Accuracy,Train F1,Train Precision,Train Recall,Val Accuracy,Val F1,Val Precision,Val Recall,Train Efficiency (samples/s),Val Efficiency (samples/s),Avg Inference Time (ms),Train Samples,Val Samples
CRNN,0.9179,0.9175,0.9209,0.9179,0.9722,0.9723,0.9732,0.9722,12.49,15.50,64.51,767,288
PANNS,0.7875,0.7825,0.8120,0.7875,0.8646,0.8598,0.8929,0.8646,13.60,13.52,73.95,767,288
TRANSFORMER,0.5958,0.5784,0.5747,0.5958,0.6597,0.6474,0.6454,0.6597,11.47,11.53,86.76,767,288
SNN,0.5906,0.5334,0.5524,0.5906,0.6493,0.5981,0.6350,0.6493,12.74,12.60,79.35,767,288
