Model,Accuracy,Precision,Recall,F1-Score,Drone_Precision,Drone_Recall,Drone_F1,Helicopter_Precision,Helicopter_Recall,Helicopter_F1
CRNN (Combined),0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,1.0,0.5
CRNN (Hard Mining),0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,1.0,0.5
PANNS (Combined),0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,1.0,0.5
